id	zscore	logp	method	annotation	color
Otu544	1.304	0.715794932	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu5888	1.44	0.824198367	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Eubacterium	orange
Otu435	1.483	0.859806321	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu472	1.498	0.872247484	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_p-75-a5	red
Otu474	1.522	0.893129456	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
Otu256	1.54	0.908333042	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu511	1.686	1.037583307	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_RFN20	orange
Otu29	1.81	1.152797636	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae	orange
Otu474	2.053	1.396855627	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
Otu8705	2.138	1.487849463	q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Bulleidia	orange
Otu477	2.244	1.604673607	h1_q	Bacteria_Firmicutes_Erysipelotrichi_Erysipelotrichales_Erysipelotrichaceae_Coprobacillus	orange
